iter	RMSE
0	0.01695363813
1	0.01661114152
2	0.01648221606
3	0.01626027851
4	0.01604247584
5	0.01578821082
6	0.01564843884
7	0.01547326318
8	0.01539775843
9	0.01519599785
10	0.01498636926
11	0.01481395788
12	0.01469485924
13	0.01456033282
14	0.01443720522
15	0.01439485106
16	0.01432834867
17	0.01430797689
18	0.01418506146
19	0.01390559396
20	0.01377853775
21	0.01346484314
22	0.0132709716
23	0.013022185
24	0.01297714411
25	0.0129150167
26	0.01289793646
27	0.01282162741
28	0.01274639138
29	0.01269099957
30	0.01264822006
31	0.01258802988
32	0.01258787328
33	0.01250620254
34	0.01244253793
35	0.01235467975
36	0.01230114537
37	0.01222709447
38	0.01219174313
39	0.01214142999
40	0.01200997997
41	0.01189262356
42	0.01168773255
43	0.01158168557
44	0.01151622232
45	0.01147144566
46	0.01143092165
47	0.01140026916
48	0.0111917113
49	0.01118208477
50	0.01102536167
51	0.0108577855
52	0.01045478513
53	0.01036533979
54	0.01015102999
55	0.009885780793
56	0.009699762714
57	0.009462337452
58	0.009409064054
59	0.00919465487
60	0.009085591032
61	0.008835543948
62	0.008591775278
63	0.008462176423
64	0.008305352607
65	0.008184619519
66	0.008100282898
67	0.007931630498
68	0.007835207862
69	0.007664970324
70	0.007398635393
71	0.007295175598
72	0.007190087125
73	0.007116286648
74	0.007045764455
75	0.006951542236
76	0.006857451924
77	0.00676418807
78	0.006697462884
79	0.006561835386
80	0.006489762028
81	0.00641954243
82	0.006281920892
83	0.006221517243
84	0.006091138106
85	0.006006057239
86	0.005936760061
87	0.005883170936
88	0.005795443003
89	0.005744990153
90	0.005645459983
91	0.005604237638
92	0.005543058157
93	0.005473604195
94	0.005412089661
95	0.005335861339
96	0.005256967715
97	0.005208975853
98	0.005101310013
99	0.005019621869
100	0.004951285332
101	0.004898203462
102	0.004852544853
103	0.004804632845
104	0.004767038766
105	0.004703423657
106	0.0046596431
107	0.004598656531
108	0.004558033815
109	0.004511178326
110	0.004471740277
111	0.004432947835
112	0.004363897085
113	0.004328224509
114	0.004267629708
115	0.004232194436
116	0.004171576542
117	0.004128104515
118	0.004070504208
119	0.004013658149
120	0.003958690385
121	0.003899830382
122	0.00385390924
123	0.003788329996
124	0.003727946391
125	0.0036862925
126	0.003653632078
127	0.003590841624
128	0.003536024313
129	0.00350647665
130	0.003457401574
131	0.003385474651
132	0.003331351271
133	0.003292501112
134	0.003248006133
135	0.003218494231
136	0.003173108619
137	0.003129248554
138	0.003085686511
139	0.003044774808
140	0.00300292929
141	0.00297236729
142	0.002945227856
143	0.002908738417
144	0.002873389885
145	0.002832124215
146	0.002792561542
147	0.002741509746
148	0.0027124288
149	0.002674578987
150	0.002636827519
151	0.002600315475
152	0.00258005054
153	0.002543628385
154	0.002507519485
155	0.002478775957
156	0.002428642383
157	0.002395129562
158	0.002361740227
159	0.002328699914
160	0.002295984595
161	0.002263813285
162	0.002232295096
163	0.00220146848
164	0.00217066666
165	0.002140686479
166	0.002110736639
167	0.00208150291
168	0.002052258653
169	0.002036652954
170	0.00200765334
171	0.001979390722
172	0.001952034158
173	0.001924390776
174	0.001893286846
175	0.001866928227
176	0.001840774751
177	0.001825607958
178	0.001798453762
179	0.001780527578
180	0.001756944637
181	0.001743348555
182	0.001718593614
183	0.001697984089
184	0.001684163615
185	0.00166052723
186	0.001644858695
187	0.001622392951
188	0.001599485651
189	0.001585327211
190	0.001565026973
191	0.001546808158
192	0.001524797946
193	0.001503334732
194	0.001486904234
195	0.001461304921
196	0.001440787523
197	0.001422692813
198	0.001402006024
199	0.001387458872
200	0.001368071619
201	0.001348684274
202	0.001329998482
203	0.001311354292
204	0.00129776599
205	0.001280297252
206	0.001262147981
207	0.00125116442
208	0.001233722846
209	0.001217333635
210	0.00120563197
211	0.001197092905
212	0.001180366901
213	0.001161765545
214	0.00114555423
215	0.001126641166
216	0.001111527628
217	0.00110161275
218	0.001086099896
219	0.001071063938
220	0.00106236561
221	0.001047517357
222	0.001032743162
223	0.001018129853
224	0.001005790636
225	0.0009927811849
226	0.0009794089119
227	0.0009733266515
228	0.0009596672837
229	0.0009540056224
230	0.000941582298
231	0.0009276100011
232	0.0009147616602
233	0.0009019734168
234	0.0008946764196
235	0.0008822210356
236	0.0008701782102
237	0.0008580406528
238	0.0008468585497
239	0.0008367112433
240	0.0008252570158
241	0.0008183655303
242	0.000808487251
243	0.0007973019036
244	0.0007862892945
245	0.0007754898324
246	0.0007645385877
247	0.0007538790284
248	0.0007433045739
249	0.0007329776767
250	0.000727102395
251	0.0007169296996
252	0.0007113652049
253	0.0007014244897
254	0.000696040017
255	0.0006861528893
256	0.0006763109597
257	0.0006663637674
258	0.0006584524273
259	0.0006478105935
260	0.0006399601677
261	0.0006350170079
262	0.0006262223031
263	0.0006215489382
264	0.0006128361793
265	0.0006043368208
266	0.0005944429942
267	0.0005854413256
268	0.0005772729532
269	0.0005692458568
270	0.0005603182916
271	0.0005525331718
272	0.0005445707469
273	0.0005370849325
274	0.0005291673431
275	0.0005225211048
276	0.0005153658043
277	0.0005081617607
278	0.0005010942444
279	0.0004974388365
280	0.0004905026484
281	0.0004862819776
282	0.0004825985097
283	0.0004758437251
284	0.0004721999412
285	0.0004648717103
286	0.0004588542819
287	0.000452692628
288	0.0004464175911
289	0.0004428686647
290	0.0004365689558
291	0.0004305154026
292	0.0004231941375
293	0.0004172278174
294	0.0004113709275
295	0.0004079920969
296	0.0004048082169
297	0.0003972894304
298	0.0003942949269
299	0.000389911312
300	0.0003847228518
301	0.0003794933004
302	0.0003739645471
303	0.0003710903308
304	0.0003658466968
305	0.0003606716147
306	0.0003561395474
307	0.0003511453127
308	0.00034622666
309	0.0003413776678
310	0.0003370577397
311	0.000334045898
312	0.0003293403543
313	0.0003264164677
314	0.0003217978464
315	0.0003192675733
316	0.0003147937992
317	0.0003124660555
